id,question,imageURL,answers.0,answers.1,answers.2,answers.3,correctAnswer,correctAnswerIndex,explanation
1,რომელი ავტომობილის მძღოლს წარმოექმნება გზის დათმობის ვალდებულება ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-1.jpg,სატვირთო ავტომობილის მძღოლს,მსუბუქი ავტომობილის მძღოლს,undefined,undefined,მსუბუქი ავტომობილის მძღოლს,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „გ“ ქვეპუნქტის თანახმად, თანაბარმნიშვნელოვანი გზების გადაკვეთაზე ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მარჯვნიდან მოახლოებულ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც. ასეთ გზაჯვარედინზე რელსიან სატრანსპორტო საშუალებას აქვს უპირატესობა ურელსო სატრანსპორტო საშუალების მიმართ, მიუხედავად მისი მოძრაობის მიმართულებისა."
2,"ვალდებულია თუ არა წითელი ავტომობილის მძღოლი, მიმდებარე ტერიტორიიდან გზაზე გასვლისას გზა დაუთმოს ქვეითებს?",https://starti.ge/exam/ticket_media/new/ticketIMG-2.jpg,ვალდებულია,არ არის ვალდებული,undefined,undefined,ვალდებულია,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 25-ე მუხლის მე-7 პუნქტის თანახმად, მძღოლმა მიმდებარე ტერიტორიიდან გზაზე გამოსვლისას ან გზიდან ასეთ ტერიტორიაზე შესვლისას გზა უნდა დაუთმოს ქვეითებს."
4,რომელი ავტომობილის მძოლს ენიჭება უპირატესობა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-4.jpg,ლურჯი ავტომობილის მძღოლს,თეთრი ავტომობილის მძღოლს,undefined,undefined,თეთრი ავტომობილის მძღოლს,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-3 პუნქტის „ა“ ქვეპუნქტის თანახმად, რეგულირებულ გზაჯვარედინზე, შუქნიშნის მწვანე სიგნალის ჩართვის დროს მარცხნივ მოხვევისას ან მობრუნებისას, ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს საპირისპირო მიმართულებიდან პირდაპირ ან მარჯვნივ მოძრავ სატრანსპორტო საშუალებას. ამავე კანონის 28-ე მუხლის მე-3 პუნქტის თანახმად შუქნიშნის მაშუქი სიგნალების მოთხოვნებს აქვს უპირატესი ძალა გავლის უპირატესობის განმსაზღვრელი საგზაო ნიშნებისა და საგზაო მონიშვნების მოთხოვნების მიმართ."
5,"რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი ისრის მიმართულებით მოძრავმა ავტომობილებმა, თუ სასწრაფო სამედიცინო დახმარების ავტომობილს ჩართული აქვს ლურჯი მოელვარე სპეციალური ციმციმა და ხმოვანი სიგნალები?",https://starti.ge/exam/ticket_media/new/ticketIMG-5.jpg,"ჯერ უნდა გაიაროს სასწრაფო სამედიცინო დახმარების ავტომობილმა, შემდეგ - მსუბუქმა ავტომობილმა და ბოლოს - სატვირთო ავტომობილმა","ჯერ უნდა გაიაროს სასწრაფო სამედიცინო დახმარების ავტომობილმა, შემდეგ - სატვირთო ავტომობილმა და ბოლოს - მსუბუქმა ავტომობილმა","ჯერ გაიაროს მსუბუქმა ავტომობილმა, შემდეგ - სასწრაფო სამედიცინო დახმარების ავტომობილმა და ბოლოს სატვირთო ავტომობილმა",undefined,"ჯერ უნდა გაიაროს სასწრაფო სამედიცინო დახმარების ავტომობილმა, შემდეგ - მსუბუქმა ავტომობილმა და ბოლოს - სატვირთო ავტომობილმა",1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „ა“ ქვეპუნქტის თანახმად, არარეგულირებულ გზაჯვარედინზე, არათანაბარმნიშვნელოვანი გზების გადაკვეთაზე მეორეხარისხოვან გზაზე მოძრავი სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მთავარი გზიდან მოახლოებულ სატრანსპორტო საშუალებას, მიუხედავად მისი შემდგომი მოძრაობის მიმართულებისა. ამავე კანონის 51-ე მუხლის პირველი და მე-2 პუნქტების თანახმად: 1. ოპერატიული ან სპეციალური სამსახურის სატრანსპორტო საშუალების მძღოლს, რომელსაც სატრანსპორტო საშუალებაზე ჩართული აქვს ლურჯი მოელვარე სპეციალური ციმციმა სიგნალი და ასრულებს სამსახურებრივ დავალებას, შეუძლია საგზაო მოძრაობის უსაფრთხოების უზრუნველყოფის პირობების დაცვით გადაუხვიოს ამ კანონის 25-ე, 31-ე - 41-ე და 44-ე მუხლების, აგრეთვე ამ კანონის N01 და N02 დანართებით დადგენილ მოთხოვნებს. ლურჯ მოელვარე სპეციალურ ციმციმა სიგნალთან ერთად დამატებით შეიძლება ჩაირთოს წითელი მოელვარე ციმციმა სიგნალიც. სხვა საგზაო მოძრაობის მონაწილეების მიმართ უპირატესობის მისაღებად ამ სატრანსპორტო საშუალების მძღოლმა უნდა ჩართოს ლურჯი მოელვარე სპეციალური ციმციმა სიგნალი და ხმოვანი სიგნალი. პრიორიტეტით სარგებლობა მხოლოდ მაშინ შეიძლება, როცა მძღოლი დარწმუნდება, რომ მას გზას უთმობენ. 2. საგზაო მოძრაობის მონაწილეები ვალდებული არიან, ოპერატიული ან სპეციალური სამსახურის სატრანსპორტო საშუალების მოახლოებისას, რომელსაც ჩართული აქვს ლურჯი მოელვარე სპეციალური ციმციმა სიგნალი და ხმოვანი სიგნალი ან/და რომელიც ხმამაღლამოლაპარაკე ხელსაწყოთი იძლევა სიგნალს, მას, აგრეთვე მის მიერ გასაცილებელ სატრანსპორტო საშუალებას, რომელსაც ჩართული აქვს ახლო განათების ფარები, გაუთავისუფლონ სავალ ნაწილზე ადგილი, ხოლო აუცილებლობის შემთხვევაში − გაჩერდნენ."
6,რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი ავტომობილებმა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-6.jpg,"ჯერ უნდა გაიაროს მსუბუქმა ავტომობილმა, შემდეგ - სატვირთო ავტომობილმა, ბოლოს - ავტობუსმა","ჯერ უნდა გაიაროს სატვირთო ავტომობილმა, შემდეგ - ავტობუსმა, ბოლოს - მსუბუქმა ავტომობილმა","ჯერ უნდა გაიაროს ავტობუსმა, შემდეგ - მსუბუქმა ავტომობილმა, ბოლოს - სატვირთო ავტომობილმა",undefined,"ჯერ უნდა გაიაროს ავტობუსმა, შემდეგ - მსუბუქმა ავტომობილმა, ბოლოს - სატვირთო ავტომობილმა",3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „ა“ და „დ“ ქვეპუნქტების თანახმად, არარეგულირებულ გზაჯვარედინზე: ა) არათანაბარმნიშვნელოვანი გზების გადაკვეთაზე მეორეხარისხოვან გზაზე მოძრავი სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მთავარი გზიდან მოახლოებულ სატრანსპორტო საშუალებას, მიუხედავად მისი შემდგომი მოძრაობის მიმართულებისა; დ) მარცხნივ მოხვევისას ან მობრუნებისას ურელსო სატრა¬ნსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს თანაბარ¬მნიშვნელოვან გზაზე საპირისპირო მიმართულებიდან პირდაპირ ან მარჯვნივ მოძრავ სატრანსპორტო საშუალებას."
7,რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი სატრანსპორტო საშუალებებმა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-7.jpg,"ჯერ უნდა გაიაროს ავტობუსმა, შემდეგ - მოტოციკლმა, ბოლოს - მსუბუქმა ავტომობილმა","ჯერ უნდა გაიაროს მსუბუქმა ავტომობილმა, შემდეგ - ავტობუსმა, ბოლოს - მოტოციკლმა","ჯერ უნდა გაიაროს მოტოციკლმა, შემდეგ - ავტობუსმა, ბოლოს - მსუბუქმა ავტომობილმა",undefined,"ჯერ უნდა გაიაროს მსუბუქმა ავტომობილმა, შემდეგ - ავტობუსმა, ბოლოს - მოტოციკლმა",2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „ა“, „ბ“ და „ე“ ქვეპუნქტების თანახმად, არარეგულირებულ გზაჯვარედინზე: ა) არათანაბარმნიშვნელოვანი გზების გადაკვეთაზე მეორეხარისხოვან გზაზე მოძრავი სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მთავარი გზიდან მოახლოებულ სატრანსპორტო საშუალებას, მიუხედავად მისი შემდგომი მოძრაობის მიმართულებისა; ბ) თუ გზაჯვარედინზე მთავარი გზა იცვლის მიმართულებას, ამ გზაზე მოძრავმა მძღოლებმა ურთიერთშორის უნდა იხელმძღვანელონ თანაბარმნიშვნელოვანი გზების გავლის წესებით. ამავე წესებით უნდა იხელმძღვანელონ ურთიერთშორის მეორეხარისხოვან გზაზე მოძრავმა მძღოლებმაც; გ) თანაბარმნიშვნელოვანი გზების გადაკვეთაზე ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მარჯვნიდან მოახლოებულ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც."
10,მსუბუქი ავტომობილის მძღოლს უფლება აქვს მობრუნების მანევრი შეასრულოს:,https://starti.ge/exam/ticket_media/new/ticketIMG-10.jpg,მხოლოდ A მიმართულებით,მხოლოდ B მიმართულებით,"როგორც A, ასევე B მიმართულებით",undefined,მხოლოდ B მიმართულებით,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის პირველი დანართის 4.3 პუნქტის თანახმად, საგზაო ნიშანი 4.3 „წრიული მოძრაობა” - რთავს ისრებით ნაჩვენები მიმართულებებით მოძრაობის ნებას გზაჯვარედინზე, რომელზედაც წრიული მოძრაობაა ორგანიზებული."
13,ისრების გადაკვეთის ადგილზე გზის დათმობის ვალდებულება წარმოექმნება:,https://starti.ge/exam/ticket_media/new/ticketIMG-13.jpg,წითელი ავტომობილის მძღოლს,ლურჯი ავტომობილის მძღოლს,undefined,undefined,წითელი ავტომობილის მძღოლს,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 32-ე მუხლის მე-12 პუნქტის თანახმად, თუ სატრანსპორტო საშუალებების მოძრაობის ტრაექტორიები იკვეთება, ხოლო გავლის რიგითობა განსაზღვრული არ არის, მძღოლმა გზა უნდა დაუთმოს იმ სატრანსპორტო საშუალებას, რომელიც მას მარჯვნიდან უახლოვდება. ამავე კანონის პირველი დანართის მე-2 თავის 2.3 პუნქტის თანახმად საგზაო ნიშანი 2.3 „დაუთმე გზა” - გზა, რომელზე მოძრავი მძღოლიც ვალდებულია გზა დაუთმოს გადა¬სა¬კვეთ გზაზე მოძრავ მძღოლს, ამავე თავის შენიშვნის „ა“ ქვეპუნქტის თანახმად 2.3 და 2.4 ნიშნების მოქმედება ვრცელდება სავალი ნაწილების იმ გადაკვეთაზე, რომლის წინაც დადგმულია სათანადო ნიშანი."
14,"აქვს თუ არა წითელი ავტომობილის მძღოლს ისრის მიმართულებით მოძრაობის გაგრძელების უფლება, თუ შუქნიშნის მწვანე მაშუქი სიგნალის შემდეგ, ყვითელი მაშუქი სიგნალის ჩართვისას მას არ შეეძლო „სდექ“ ხაზთან გაჩერება მკვეთრი დამუხრუჭების გარეშე?",https://starti.ge/exam/ticket_media/new/ticketIMG-14.jpg,აქვს უფლება,არ აქვს უფლება,undefined,undefined,აქვს უფლება,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 29-ე მუხლის მე-14 პუნქტის თანახმად, მძღოლს, რომელსაც ყვითელი მაშუქი სიგნალის ჩართვის დროს მკვეთრად დამუხრუჭების გარეშე არ შეუძლია გაჩერდეს ამ მუხლის მე-13 პუნქტით განსაზღვრულ ადგილებში, უფლება აქვს, განაგრძოს მოძრაობა. ამავე კანონის 36-ე მუხლის მე-3 პუნქტის „ვ“ ქვეპუნქტის თანახმად, რეგულირებულ გზაჯვარედინზე, შუქნიშნის ნებადამრთველი სიგნალის ჩართვისას მძღოლი ვალდებულია გზა დაუთმოს იმ სატრანსპორტო საშუალებას, რომელიც ამთავრებს გზაჯვარედინზე გადასვლას, და ქვეითს, რომელმაც ვერ დაამთავრა სავალ ნაწილზე გადასვლა მოცემული მიმართულებით."
15,რომელი სატრანსპორტო საშუალების მძღოლს ეკრძალებათ ისრის მიმართულებით მოძრაობა მარეგულირებლის ამ სიგნალზე?,https://starti.ge/exam/ticket_media/new/ticketIMG-15.jpg,ტრამვაისა და მსუბუქი ავტომობილის მძღოლებს,ავტობუსისა და მსუბუქი ავტომობილის მძღოლებს,ტრამვაისა და ავტობუსის მძღოლებს,undefined,ტრამვაისა და ავტობუსის მძღოლებს,3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 30-ე მუხლის მე-5 პუნქტის „გ“ ქვეპუნქტის თანახმად, მარეგულირებლის სიგნალებს აქვთ შემდეგი მნიშვნელობა: გ) წინ გაშვერილი მარჯვენა ხელი - ეს ჟესტი ნიშნავს „სდექ“ სიგნალს მარეგულირებლის მარჯვენა გვერდისა და ზურგის მხრიდან მოძრავი ყველა მძღოლისათვის; ამასთანავე, მარეგულირებლის მარცხენა გვერდის მხრიდან ტრამვაის უფლება აქვს, იმოძრაოს მარცხნივ, ხოლო ურელსო სატრანსპორტო საშუალებას უფლება აქვს, იმოძრაოს ყველა მიმართულებით. მარეგულირებლის მკერდის მხრიდან ყველა სატრანსპორტო საშუალებას უფლება აქვს, იმოძრაოს მხოლოდ მარჯვნივ. ქვეითს უფლება აქვს, გადავიდეს სავალ ნაწილზე მარეგუ-ლირებლის ზურგის უკან."
